id,name,romaji,url
1219,アイデアポケット,idea_pocket,http://www.ideapocket.com/
1227,アタッカーズ,attackers,http://www.attackers.net/
1398,ドグマ,dogma,http://www.dogma.co.jp/
1509,ムーディーズ,moodyz,http://www.moodyz.com/
1548,レッド,red,https://www.r-e-d.jp/
2376,オペラ,opera,
2445,ランク10国,rank10,
2661,マドンナ,madonna,https://www.madonna-av.com/
3131,カルマ,karma,
3152,エスワン ナンバーワンスタイル,s1no1,http://www.s1s1s1.com/
3254,HAMEX,hamex,
3255,Air control,aircon,http://www.i-dol.tv/
3783,クロス,cross,
3784,エムズビデオグループ,mvg,http://www.mvg.jp/
3890,プレミアム,premium,http://premium-beauty.com/
3925,しのだ,sinoda,
4236,大蔵映像,ookuraeizou,
4468,ひまわり企画,himawarikikaku,
4469,kawaii,kawaii,https://www.kawaiikawaii.jp/
4500,未満,miman,
4523,BEAUTY,beauty,
4551,激弾カーニバル,gekidan_carnival,
4552,P☆MAX,p_max,
4553,MARIA,maria,
4555,BRAVO,bravo_m,
4581,kira☆kira,kirakira,http://www.kirakira-av.com/
4582,NEO ATLAS,neoatlas,
4583,無印ムービー,mujirusi_goemon,
4584,JOY,joy,
4585,A-BOX,a_box,
4608,メガロポリス,megalopolis,
4641,ダスッ！,das,http://www.dasdas.jp/
4643,NANIWA,naniwa_02,
4676,Get Some Action,getsomeaction,
4725,ANIMALIJO,animalijo,
4726,エンパイヤーピクチャーズ,empire,
4775,ナチュラルエムツー,naturalm2,
4776,エッジ,edge_logo,
4777,北川プロ,kitagawap,
4802,幻奇,genki,
4803,信長ファクトリー,nobunaga,
4804,NIRVANA,nirvana,
4808,中嶋興業,nakajimakogyo,
4809,ミル,milu,
4833,カッコイイ！,kakkoii,
4834,大塚フロッピー,ootuka,
4835,TRANS CLUB,transclub,
4836,SHEMALE a la carte,shemalealacarte,
4837,HYPER240,hyper240,
4864,無垢,muku,http://www.muku.tv/
4865,Men’s Heaven,mens_heaven,
4986,若松映像,wakamatu,
5009,BRAVO/ミスターインパクト,mr_impact,
5032,E-BODY,,http://www.av-e-body.com/
5034,アートモード,artmode,
5061,オーロラプロジェクト・アネックス,,
5130,熟女愛好会,zyukuzyoaikoukai,
5183,フリー,free,
